experiment,decoder,role,epoch,wer,cer,loss,rtf,substitutions,deletions,insertions,hits,reference_words,num_samples,decoder_parameters,decoder_trainable_parameters,total_parameters,trainable_parameters
decoder_linear_layer9,Linear,逐帧线性,1,0.8101997896950578,0.35311614165369104,1.587035786537897,0.010405926792304274,5848,1752,105,1910,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,2,0.7392218717139852,0.29594362598315166,1.3946529749840024,0.010636447448184245,5605,1287,138,2618,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,3,0.6736067297581493,0.21830957799337247,0.7732326113988482,0.010587522279628692,5038,1297,71,3175,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,4,0.6409043112513144,0.20132151555076455,0.7085102872243003,0.010541474619694426,4951,1045,99,3514,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,5,0.6195583596214511,0.19293727791751508,0.6799094194457644,0.010509586655760392,4888,894,110,3728,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,6,0.6128286014721346,0.18922425839421886,0.6638008214178539,0.01052693191324548,4853,862,113,3795,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,7,0.6070452155625657,0.18664909969257795,0.6543946365515391,0.010547584668673546,4826,835,112,3849,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,8,0.6043112513144059,0.18521180181259234,0.6489189986198668,0.010301742603769226,4809,825,113,3876,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,9,0.6034700315457413,0.18497225216592805,0.646524454393084,0.010209472247983369,4804,824,111,3882,9510,500,23070,23070,94394782,23070
decoder_linear_layer9,Linear,逐帧线性,10,0.6027339642481598,0.1845929652253763,0.6455765158411056,0.010233666752568007,4794,828,110,3888,9510,500,23070,23070,94394782,23070
decoder_mlp_layer9,MLP,逐帧非线性,1,0.43711882229232385,0.12219028226933365,0.4338177802070739,0.01108490329311188,3701,304,152,5505,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,2,0.36603575184016823,0.09769633089791192,0.35662349514544955,0.011053201403089533,3066,291,124,6153,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,3,0.34006309148264985,0.09025032938076416,0.33458250382589916,0.011132966598327942,2852,257,125,6401,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,4,0.320925341745531,0.08472072503693057,0.3205569686870726,0.011221967004257283,2682,265,105,6563,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,5,0.31188222923238695,0.08152672974807362,0.314752429960266,0.011164755107404993,2572,302,92,6636,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,6,0.30799158780231334,0.08022916916197549,0.3137479765074594,0.01119800404545615,2533,296,100,6681,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,7,0.2978969505783386,0.077733860342556,0.3133929641473861,0.011158537786020366,2458,269,106,6783,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,8,0.29695057833859095,0.07745438575478102,0.3115006299718978,0.011167159947789934,2452,269,103,6789,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,9,0.2966351209253417,0.07701521140256318,0.30897939796485596,0.011065820608337058,2472,247,102,6791,9510,500,410654,410654,94782366,410654
decoder_mlp_layer9,MLP,逐帧非线性,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,0.011061942763536982,2459,238,112,6813,9510,500,410654,410654,94782366,410654
decoder_transformer_layer9,Transformer,跨帧上下文,1,0.5588853838065194,0.16530921866890247,0.5594199039633312,0.01063102401288079,4447,766,102,4297,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,2,0.4661409043112513,0.1311334690781331,0.45414589984076364,0.010486920144821669,3824,479,130,5207,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,3,0.4231335436382755,0.11626142851439294,0.4327981836265988,0.010484544492999407,3486,413,125,5611,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,4,0.3883280757097792,0.10645985547171317,0.39927981628312004,0.010483941693056052,3239,293,161,5978,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,5,0.3621451104100946,0.09905377889567613,0.3852047324180603,0.010490729525251359,3057,182,205,6271,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,6,0.3494216614090431,0.0949415099612728,0.3939629149815393,0.010459333106346074,2910,245,168,6355,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,7,0.3333333333333333,0.0896913802052142,0.38193867367411416,0.01044681774090196,2744,280,146,6486,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,8,0.3205047318611987,0.08635764762246975,0.37386428907750147,0.010509964618782739,2641,274,133,6595,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,9,0.31892744479495266,0.08474068750748592,0.386814742807358,0.010471998603245564,2617,284,132,6609,9510,500,1784094,1784094,96155806,1784094
decoder_transformer_layer9,Transformer,跨帧上下文,10,0.3162986330178759,0.0844811753902663,0.392215355757683,0.010437492100847948,2594,276,138,6640,9510,500,1784094,1784094,96155806,1784094
