experiment,representation,codebook_size,dedup,epoch,wer,cer,loss,rtf,token_rate,bitrate,substitutions,deletions,insertions,hits,reference_words,num_samples
continuous_layer9_mlp,continuous,,,1,0.43711882229232385,0.12219028226933365,0.4338177802070739,0.01108490329311188,49.89518972544398,1226224.1826925112,3701,304,152,5505,9510,500
continuous_layer9_mlp,continuous,,,2,0.36603575184016823,0.09769633089791192,0.35662349514544955,0.011053201403089533,49.89518972544398,1226224.1826925112,3066,291,124,6153,9510,500
continuous_layer9_mlp,continuous,,,3,0.34006309148264985,0.09025032938076416,0.33458250382589916,0.011132966598327942,49.89518972544398,1226224.1826925112,2852,257,125,6401,9510,500
continuous_layer9_mlp,continuous,,,4,0.320925341745531,0.08472072503693057,0.3205569686870726,0.011221967004257283,49.89518972544398,1226224.1826925112,2682,265,105,6563,9510,500
continuous_layer9_mlp,continuous,,,5,0.31188222923238695,0.08152672974807362,0.314752429960266,0.011164755107404993,49.89518972544398,1226224.1826925112,2572,302,92,6636,9510,500
continuous_layer9_mlp,continuous,,,6,0.30799158780231334,0.08022916916197549,0.3137479765074594,0.01119800404545615,49.89518972544398,1226224.1826925112,2533,296,100,6681,9510,500
continuous_layer9_mlp,continuous,,,7,0.2978969505783386,0.077733860342556,0.3133929641473861,0.011158537786020366,49.89518972544398,1226224.1826925112,2458,269,106,6783,9510,500
continuous_layer9_mlp,continuous,,,8,0.29695057833859095,0.07745438575478102,0.3115006299718978,0.011167159947789934,49.89518972544398,1226224.1826925112,2452,269,103,6789,9510,500
continuous_layer9_mlp,continuous,,,9,0.2966351209253417,0.07701521140256318,0.30897939796485596,0.011065820608337058,49.89518972544398,1226224.1826925112,2472,247,102,6791,9510,500
continuous_layer9_mlp,continuous,,,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,0.011061942763536982,49.89518972544398,1226224.1826925112,2459,238,112,6813,9510,500
kmeans_k100,k-means,100,False,1,1.0,0.8204974647662394,2.086914130619594,0.009351324618898694,49.89518972544398,331.4964650973752,1063,8447,0,0,9510,500
kmeans_k100,k-means,100,False,2,1.0,0.8204575398251288,2.079496536936079,0.009359023670503628,49.89518972544398,331.4964650973752,1063,8447,0,0,9510,500
kmeans_k100,k-means,100,False,3,1.0,0.8142092865413023,2.0765593316819935,0.009336997529159414,49.89518972544398,331.4964650973752,1063,8447,0,0,9510,500
kmeans_k100,k-means,100,False,4,1.0,0.8142092865413023,2.079464728870089,0.009350553851843711,49.89518972544398,331.4964650973752,1063,8447,0,0,9510,500
kmeans_k500,k-means,500,False,1,0.9810725552050473,0.5312213039485767,1.595701395519196,0.01023576902800697,49.89518972544398,447.34950792061886,4350,4978,2,182,9510,500
kmeans_k500,k-means,500,False,2,0.9859095688748686,0.5319798778296801,1.586226843652271,0.010181269727572018,49.89518972544398,447.34950792061886,3603,5771,2,136,9510,500
kmeans_k500,k-means,500,False,3,0.9858044164037855,0.5338962750029944,1.583658227844844,0.010182797137383667,49.89518972544398,447.34950792061886,3607,5766,2,137,9510,500
kmeans_k500,k-means,500,False,4,0.9884332281808622,0.5396454665229369,1.5859154727723863,0.01019422135546817,49.89518972544398,447.34950792061886,3144,6255,1,111,9510,500
kmeans_k1000,k-means,1000,False,1,0.9583596214511041,0.45967580947818104,1.4390934062382532,0.012133322320231822,49.89518972544398,497.24469764606283,4779,4332,3,399,9510,500
kmeans_k1000,k-means,1000,False,2,0.9563617245005258,0.4558230526609973,1.4216950185715207,0.012456014807815009,49.89518972544398,497.24469764606283,4835,4253,7,422,9510,500
kmeans_k1000,k-means,1000,False,3,0.9619348054679285,0.462031381003713,1.4169835987545194,0.012499799425297792,49.89518972544398,497.24469764606283,4519,4625,4,366,9510,500
kmeans_k1000,k-means,1000,False,4,0.9678233438485805,0.4682995967580948,1.4157069599817669,0.0125131798621607,49.89518972544398,497.24469764606283,4100,5102,2,308,9510,500
kmeans_k1000,k-means,1000,False,5,0.9726603575184016,0.4759851479219068,1.4123582007393005,0.012587308714621808,49.89518972544398,497.24469764606283,3835,5415,0,260,9510,500
kmeans_k500_dedup,k-means,500,True,1,0.9709779179810726,0.46921787040364116,1.6233665716080439,0.009901056244583725,35.699856977974754,320.0772166578102,5110,4117,7,283,9510,500
kmeans_k500_dedup,k-means,500,True,2,0.9739221871713986,0.4709146804008464,1.6155390342076619,0.010237784669482644,35.699856977974754,320.0772166578102,5056,4199,7,255,9510,500
kmeans_k500_dedup,k-means,500,True,3,0.97465825446898,0.46983670699085717,1.6106409648108104,0.010210962308549433,35.699856977974754,320.0772166578102,5008,4254,7,248,9510,500
kmeans_k500_dedup,k-means,500,True,4,0.9728706624605679,0.46762087275921266,1.606841418478224,0.010144135791877198,35.699856977974754,320.0772166578102,5255,3987,10,268,9510,500
