experiment,layer,epoch,wer,cer,loss,rtf,substitutions,deletions,insertions,hits,reference_words,num_samples
hidden_layer_6,6,1,0.5191377497371188,0.15307222421846928,0.5229360196325514,0.01123410319651278,4152,460,325,4898,9510,500
hidden_layer_6,6,2,0.47350157728706627,0.13630374895197028,0.46606965292067754,0.01112424361677776,3790,387,326,5333,9510,500
hidden_layer_6,6,3,0.45184016824395373,0.12889767237593325,0.45415424638324314,0.011176412755657112,3633,345,319,5532,9510,500
hidden_layer_6,6,4,0.4374342797055731,0.12596318920429592,0.4501596022219885,0.011112781873441151,3534,294,332,5682,9510,500
hidden_layer_6,6,5,0.43154574132492113,0.12342795544376572,0.45068053120658513,0.011091065168912983,3470,325,309,5715,9510,500
hidden_layer_6,6,6,0.42302839116719243,0.1211721962710105,0.4544129991342151,0.011085097067237008,3407,303,313,5800,9510,500
hidden_layer_6,6,7,0.42113564668769715,0.12083283427156945,0.45926428787291995,0.011087153403989542,3401,289,315,5820,9510,500
hidden_layer_6,6,8,0.4167192429022082,0.11909609933325348,0.46048695582246024,0.011051503481206622,3365,267,331,5878,9510,500
hidden_layer_6,6,9,0.4150368033648791,0.11849722521659281,0.46038980616463554,0.01097887311289591,3350,283,314,5877,9510,500
hidden_layer_6,6,10,0.4137749737118822,0.11859703756936958,0.4603708310732766,0.010978133090240974,3334,301,300,5875,9510,500
hidden_layer_9,9,1,0.43711882229232385,0.12219028226933365,0.4338177802070739,0.01108490329311188,3701,304,152,5505,9510,500
hidden_layer_9,9,2,0.36603575184016823,0.09769633089791192,0.35662349514544955,0.011053201403089533,3066,291,124,6153,9510,500
hidden_layer_9,9,3,0.34006309148264985,0.09025032938076416,0.33458250382589916,0.011132966598327942,2852,257,125,6401,9510,500
hidden_layer_9,9,4,0.320925341745531,0.08472072503693057,0.3205569686870726,0.011221967004257283,2682,265,105,6563,9510,500
hidden_layer_9,9,5,0.31188222923238695,0.08152672974807362,0.314752429960266,0.011164755107404993,2572,302,92,6636,9510,500
hidden_layer_9,9,6,0.30799158780231334,0.08022916916197549,0.3137479765074594,0.01119800404545615,2533,296,100,6681,9510,500
hidden_layer_9,9,7,0.2978969505783386,0.077733860342556,0.3133929641473861,0.011158537786020366,2458,269,106,6783,9510,500
hidden_layer_9,9,8,0.29695057833859095,0.07745438575478102,0.3115006299718978,0.011167159947789934,2452,269,103,6789,9510,500
hidden_layer_9,9,9,0.2966351209253417,0.07701521140256318,0.30897939796485596,0.011065820608337058,2472,247,102,6791,9510,500
hidden_layer_9,9,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,0.011061942763536982,2459,238,112,6813,9510,500
baseline_mlp,12,1,0.9628811777076761,0.48666506966902223,1.6821171404823425,0.011107463795085386,6717,2367,73,426,9510,500
baseline_mlp,12,2,0.9429022082018927,0.41352257755419813,1.5626221838451566,0.011219227064652136,7223,1358,386,929,9510,500
baseline_mlp,12,3,0.9143007360672976,0.397532638639358,1.4190943714172122,0.011217093166368285,6733,1713,249,1064,9510,500
baseline_mlp,12,4,0.9022082018927445,0.3773705433784485,1.3754647951277474,0.011225950692792995,6946,1315,319,1249,9510,500
baseline_mlp,12,5,0.898527865404837,0.3643350501058011,1.3099303321232871,0.011244070050042358,6936,1180,429,1394,9510,500
baseline_mlp,12,6,0.8946372239747634,0.36311733940192437,1.2683289618719191,0.01122376043844794,6864,1231,413,1415,9510,500
baseline_mlp,12,7,0.8781282860147214,0.3507605701281591,1.246318549390823,0.01122779050045471,6512,1497,342,1501,9510,500
baseline_mlp,12,8,0.8690851735015773,0.34786601189763244,1.215722041470664,0.011220492295592814,6194,1873,198,1443,9510,500
baseline_mlp,12,9,0.8630914826498423,0.3444923543737773,1.197194464622982,0.011126182328444496,6189,1803,216,1518,9510,500
baseline_mlp,12,10,0.8596214511041009,0.34257595720046313,1.1925395708235482,0.01121264355810182,6150,1837,188,1523,9510,500
