experiment,train_samples,epoch,wer,cer,loss,rtf,substitutions,deletions,insertions,hits,reference_words,num_samples,decoder_parameters,total_parameters
train_samples_900_layer9,900,1,0.6411146161934805,0.20399648660518227,0.7290422140605866,0.008224116674666269,5335,526,236,3649,9510,500,410654,94782366
train_samples_900_layer9,900,2,0.5423764458464774,0.16029863855950813,0.5763980916568211,0.00872597555991213,4602,352,204,4556,9510,500,410654,94782366
train_samples_900_layer9,900,3,0.5044164037854889,0.14556633528965546,0.5154490631724161,0.00920329597918077,4268,347,182,4895,9510,500,410654,94782366
train_samples_900_layer9,900,4,0.47602523659305995,0.13668303589252206,0.4815890240290808,0.009433859796330978,4044,297,186,5169,9510,500,410654,94782366
train_samples_900_layer9,900,5,0.4541535226077813,0.1272407873198387,0.4540696820569417,0.00957165917943811,3843,294,182,5373,9510,500,410654,94782366
train_samples_900_layer9,900,6,0.438801261829653,0.1211721962710105,0.4455965430963607,0.009730700026285254,3717,290,166,5503,9510,500,410654,94782366
train_samples_900_layer9,900,7,0.4336487907465825,0.11955523615602667,0.43789094402676537,0.00977812481489345,3655,310,159,5545,9510,500,410654,94782366
train_samples_900_layer9,900,8,0.4317560462670873,0.11829760051103924,0.43352194059462773,0.009868374852816518,3623,333,150,5554,9510,500,410654,94782366
train_samples_900_layer9,900,9,0.42902208201892744,0.11751906415938036,0.4296099590876746,0.0098670456994323,3602,325,153,5583,9510,500,410654,94782366
train_samples_900_layer9,900,10,0.4277602523659306,0.11735936439493752,0.42866605756774784,0.009845556139889751,3584,337,147,5589,9510,500,410654,94782366
train_samples_1800_layer9,1800,1,0.5145110410094638,0.14899988022517666,0.5480375228420137,0.010132891945406501,4345,402,146,4763,9510,500,410654,94782366
train_samples_1800_layer9,1800,2,0.44100946372239747,0.12193077015211402,0.44304372488506255,0.01022238295702912,3732,312,150,5466,9510,500,410654,94782366
train_samples_1800_layer9,1800,3,0.39915878023133544,0.10911486405557552,0.3997036526127467,0.010244064834439941,3392,242,162,5876,9510,500,410654,94782366
train_samples_1800_layer9,1800,4,0.37760252365930597,0.10168882500898312,0.37726268858190565,0.010192020005410932,3175,274,142,6061,9510,500,410654,94782366
train_samples_1800_layer9,1800,5,0.3700315457413249,0.09869445442567973,0.36476785133755396,0.010188554034251736,3110,283,126,6117,9510,500,410654,94782366
train_samples_1800_layer9,1800,6,0.36067297581493163,0.09631892042959236,0.360161381581473,0.010212788759051765,3011,291,128,6208,9510,500,410654,94782366
train_samples_1800_layer9,1800,7,0.35772870662460565,0.0945821854912764,0.35705481966336566,0.010161407311454445,2965,325,112,6220,9510,500,410654,94782366
train_samples_1800_layer9,1800,8,0.34900105152471084,0.09224657643629976,0.35443800191084546,0.010163132355487188,2902,299,118,6309,9510,500,410654,94782366
train_samples_1800_layer9,1800,9,0.3474237644584648,0.09166766479019443,0.3534895548271754,0.010226113942828782,2886,302,116,6322,9510,500,410654,94782366
train_samples_1800_layer9,1800,10,0.3449001051524711,0.09106879067353375,0.3521459556761242,0.010231289098075748,2873,282,125,6355,9510,500,410654,94782366
train_samples_3600_layer9,3600,1,0.43711882229232385,0.12219028226933365,0.4338177802070739,0.01108490329311188,3701,304,152,5505,9510,500,0,0
train_samples_3600_layer9,3600,2,0.36603575184016823,0.09769633089791192,0.35662349514544955,0.011053201403089533,3066,291,124,6153,9510,500,0,0
train_samples_3600_layer9,3600,3,0.34006309148264985,0.09025032938076416,0.33458250382589916,0.011132966598327942,2852,257,125,6401,9510,500,0,0
train_samples_3600_layer9,3600,4,0.320925341745531,0.08472072503693057,0.3205569686870726,0.011221967004257283,2682,265,105,6563,9510,500,0,0
train_samples_3600_layer9,3600,5,0.31188222923238695,0.08152672974807362,0.314752429960266,0.011164755107404993,2572,302,92,6636,9510,500,0,0
train_samples_3600_layer9,3600,6,0.30799158780231334,0.08022916916197549,0.3137479765074594,0.01119800404545615,2533,296,100,6681,9510,500,0,0
train_samples_3600_layer9,3600,7,0.2978969505783386,0.077733860342556,0.3133929641473861,0.011158537786020366,2458,269,106,6783,9510,500,0,0
train_samples_3600_layer9,3600,8,0.29695057833859095,0.07745438575478102,0.3115006299718978,0.011167159947789934,2452,269,103,6789,9510,500,0,0
train_samples_3600_layer9,3600,9,0.2966351209253417,0.07701521140256318,0.30897939796485596,0.011065820608337058,2472,247,102,6791,9510,500,0,0
train_samples_3600_layer9,3600,10,0.2953732912723449,0.07675569928534355,0.3087571892473433,0.011061942763536982,2459,238,112,6813,9510,500,0,0
train_samples_5400_layer9,5400,1,0.39148264984227127,0.10366510959396334,0.3764373170478003,0.0100769664824302,3303,233,187,5974,9510,500,410654,94782366
train_samples_5400_layer9,5400,2,0.32765509989484753,0.08617798538747155,0.3190413126869807,0.010133200586545902,2764,206,146,6540,9510,500,410654,94782366
train_samples_5400_layer9,5400,3,0.3024185068349106,0.07917115822254162,0.2997192581967702,0.010091960054491287,2546,196,134,6768,9510,500,410654,94782366
train_samples_5400_layer9,5400,4,0.2870662460567823,0.07451990258314369,0.29125845195755123,0.010105279331738415,2412,192,126,6906,9510,500,410654,94782366
train_samples_5400_layer9,5400,5,0.28138801261829655,0.07308260470315807,0.2863673648190877,0.01008677949948613,2357,204,115,6949,9510,500,410654,94782366
train_samples_5400_layer9,5400,6,0.2748685594111462,0.07174511917594921,0.2886110522917339,0.010080703115981934,2301,204,109,7005,9510,500,410654,94782366
train_samples_5400_layer9,5400,7,0.27097791798107257,0.0708468080009582,0.28573992659175207,0.010062695903509954,2265,200,112,7045,9510,500,410654,94782366
train_samples_5400_layer9,5400,8,0.26635120925341743,0.06881063600431189,0.2844974275619265,0.01010785585313259,2209,217,107,7084,9510,500,410654,94782366
train_samples_5400_layer9,5400,9,0.2616193480546793,0.06811194953487444,0.28417595558696324,0.010073795865970675,2176,204,108,7130,9510,500,410654,94782366
train_samples_5400_layer9,5400,10,0.2579390115667718,0.06741326306543698,0.2832298425454942,0.010078225939718586,2150,191,112,7169,9510,500,410654,94782366
train_samples_7200_layer9,7200,1,0.37076761303890643,0.09899389148401005,0.3499750421633796,0.010113457938038233,3085,320,121,6105,9510,500,410654,94782366
train_samples_7200_layer9,7200,2,0.31808622502628814,0.08320357727472352,0.30335355396308594,0.01009428726706332,2676,230,119,6604,9510,500,410654,94782366
train_samples_7200_layer9,7200,3,0.2875920084121977,0.07549806364035613,0.2830455887412268,0.0100853704244957,2401,225,109,6884,9510,500,410654,94782366
train_samples_7200_layer9,7200,4,0.2801261829652997,0.07198466882261349,0.2791787629562711,0.010074302677277212,2312,229,123,6969,9510,500,410654,94782366
train_samples_7200_layer9,7200,5,0.2707676130389064,0.0695292849443047,0.2743993853292768,0.010090286398692519,2247,218,110,7045,9510,500,410654,94782366
train_samples_7200_layer9,7200,6,0.2628811777076761,0.06739330059488162,0.27240965811033097,0.010061421175505497,2182,208,110,7120,9510,500,410654,94782366
